Agent,Arrival time,Answer time,Completion time,Release type,Time in queue,Service time,No of Agents,Queue + Service times
4,12:02:54 PM,12:03:20 PM,12:04:38 PM,N,0:00:26,0:01:18,3,0:01:44
10,12:06:26 PM,12:07:13 PM,12:07:13 PM,V,0:00:47,0:00:00,3,0:00:47
7,12:07:13 PM,12:09:36 PM,12:10:32 PM,N,0:02:23,0:00:56,3,0:03:19
9,12:09:26 PM,12:09:39 PM,12:09:39 PM,Q,0:00:13,0:00:00,3,0:00:13
10,12:09:48 PM,12:09:53 PM,12:09:53 PM,V,0:00:05,0:00:00,3,0:00:05
4,12:09:53 PM,12:10:11 PM,12:11:40 PM,N,0:00:18,0:01:29,3,0:01:47
10,12:14:03 PM,12:14:34 PM,12:14:34 PM,V,0:00:31,0:00:00,3,0:00:31
4,12:14:34 PM,12:14:52 PM,12:16:41 PM,N,0:00:18,0:01:49,3,0:02:07
10,12:15:46 PM,12:16:50 PM,12:16:50 PM,V,0:01:04,0:00:00,3,0:01:04
10,12:16:00 PM,12:16:33 PM,12:16:33 PM,V,0:00:33,0:00:00,2,0:00:33
10,12:16:27 PM,12:16:57 PM,12:16:58 PM,V,0:00:30,0:00:01,2,0:00:31
4,12:16:33 PM,12:16:47 PM,12:17:33 PM,N,0:00:14,0:00:46,2,0:01:00
4,12:16:50 PM,12:17:39 PM,12:18:32 PM,N,0:00:49,0:00:53,3,0:01:42
6,12:16:58 PM,12:17:41 PM,12:18:13 PM,N,0:00:43,0:00:32,3,0:01:15
10,12:17:17 PM,12:17:47 PM,12:17:47 PM,V,0:00:30,0:00:00,3,0:00:30
6,12:17:47 PM,12:18:15 PM,12:19:56 PM,N,0:00:28,0:01:41,3,0:02:09
10,12:37:45 PM,12:38:16 PM,12:38:16 PM,V,0:00:31,0:00:00,3,0:00:31
5,12:38:16 PM,12:38:36 PM,12:41:27 PM,N,0:00:20,0:02:51,3,0:03:11
10,12:38:25 PM,12:39:05 PM,12:39:05 PM,V,0:00:40,0:00:00,3,0:00:40
4,12:39:05 PM,12:39:38 PM,12:41:53 PM,N,0:00:33,0:02:15,3,0:02:48
10,12:47:17 PM,12:48:09 PM,12:48:09 PM,V,0:00:52,0:00:00,3,0:00:52
6,12:48:09 PM,12:48:31 PM,12:48:56 PM,N,0:00:22,0:00:25,3,0:00:47
10,12:48:47 PM,12:49:22 PM,12:49:22 PM,V,0:00:35,0:00:00,3,0:00:35
10,12:48:51 PM,12:49:24 PM,12:49:24 PM,V,0:00:33,0:00:00,3,0:00:33
6,12:49:22 PM,12:51:45 PM,12:52:32 PM,N,0:02:23,0:00:47,3,0:03:10
5,12:49:24 PM,12:49:38 PM,12:50:56 PM,N,0:00:14,0:01:18,3,0:01:32
10,12:50:02 PM,12:51:16 PM,12:51:16 PM,V,0:01:14,0:00:00,3,0:01:14
10,12:50:57 PM,12:51:04 PM,12:51:04 PM,V,0:00:07,0:00:00,3,0:00:07
5,12:51:04 PM,12:51:18 PM,12:53:26 PM,N,0:00:14,0:02:08,3,0:02:22
10,1:01:16 PM,1:01:47 PM,1:01:47 PM,V,0:00:31,0:00:00,3,0:00:31
1,1:01:47 PM,1:02:06 PM,1:03:44 PM,N,0:00:19,0:01:38,2,0:01:57
10,1:05:55 PM,1:06:49 PM,1:06:49 PM,V,0:00:54,0:00:00,2,0:00:54
5,1:06:49 PM,1:07:25 PM,1:08:41 PM,N,0:00:36,0:01:16,2,0:01:52
10,1:09:25 PM,1:09:56 PM,1:09:56 PM,V,0:00:31,0:00:00,3,0:00:31
1,1:09:56 PM,1:10:14 PM,1:11:34 PM,N,0:00:18,0:01:20,3,0:01:38
10,1:11:13 PM,1:11:49 PM,1:11:49 PM,V,0:00:36,0:00:00,3,0:00:36
5,1:11:49 PM,1:12:27 PM,1:13:34 PM,N,0:00:38,0:01:07,3,0:01:45
10,1:12:10 PM,1:12:44 PM,1:12:44 PM,V,0:00:34,0:00:00,3,0:00:34
9,1:12:10 PM,1:12:46 PM,1:12:46 PM,V,0:00:36,0:00:00,3,0:00:36
5,1:12:44 PM,1:13:50 PM,1:15:12 PM,N,0:01:06,0:01:22,3,0:02:28
1,1:12:46 PM,1:13:35 PM,1:16:51 PM,N,0:00:49,0:03:16,3,0:04:05
10,1:13:15 PM,1:13:41 PM,1:13:41 PM,V,0:00:26,0:00:00,4,0:00:26
5,1:13:41 PM,1:15:15 PM,1:18:38 PM,N,0:01:34,0:03:23,4,0:04:57
10,1:15:35 PM,1:15:40 PM,1:15:40 PM,V,0:00:05,0:00:00,4,0:00:05
10,1:15:40 PM,1:16:12 PM,1:16:12 PM,Q,0:00:32,0:00:00,3,0:00:32
10,1:16:26 PM,1:16:28 PM,1:16:28 PM,V,0:00:02,0:00:00,3,0:00:02
7,1:16:28 PM,1:18:24 PM,1:19:21 PM,N,0:01:56,0:00:57,2,0:02:53
10,1:20:24 PM,1:20:27 PM,1:20:27 PM,V,0:00:03,0:00:00,2,0:00:03
5,1:20:27 PM,1:21:02 PM,1:22:34 PM,N,0:00:35,0:01:32,2,0:02:07
10,1:21:10 PM,1:22:30 PM,1:22:30 PM,V,0:01:20,0:00:00,2,0:01:20
7,1:22:30 PM,1:22:47 PM,1:26:15 PM,N,0:00:17,0:03:28,2,0:03:45
10,1:26:13 PM,1:26:18 PM,1:26:18 PM,V,0:00:05,0:00:00,2,0:00:05
5,1:26:18 PM,1:26:53 PM,1:27:42 PM,N,0:00:35,0:00:49,2,0:01:24
10,1:26:43 PM,1:26:47 PM,1:26:47 PM,V,0:00:04,0:00:00,2,0:00:04
